-,-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Блок/ часть,Экза мен,Зачет,Зачет с оц.,КП,КР,Факт,По плану,Ауд.,СР,Конт роль,Интер  часы,Элект часы,з.е.,Итого,Лек,Лаб,Пр,Пр электр.,СР,СР электр.,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.В.02,Объектно-ориентированное программирование,Б1.В,3,4,,,,8,288,126,126,36,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.В.03,Разработка и анализ требований,Б1.В,,3,,,,2,72,36,36,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.В.04,Разработка Web-приложений,Б1.В,,4,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389
+,Б1.В.05,Методы анализа данных,Б1.В,,4,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.В.06,Инженерия требований к программному обеспечению,Б1.В,5,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,54,72,36,,,,,,,,,,,,,,,,,,,,,,93
+,Б1.В.07,Проектирование и архитектура программных систем,Б1.В,6,,,,,4,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,93
+,Б1.В.08,Тестирование программного обеспечения,Б1.В,7,,,,,5,180,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,36,90,36,,,,,,,,93
+,Б1.В.09,Основы профилактики коррупции,Б1.В,,7,,,,2,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,98
+,Б1.В.10,Экономическая культура и финансовая грамотность,Б1.В,,8,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,443
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,Б1.В,5,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,54,72,36,,,,,,,,,,,,,,,,,,,,,,
+,Б1.В.ДВ.01.01,Теория вычислительного обучения,Б1.В,5,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,54,72,36,,,,,,,,,,,,,,,,,,,,,,93
-,Б1.В.ДВ.01.02,Теория систем,Б1.В,5,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,54,72,36,,,,,,,,,,,,,,,,,,,,,,389
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,Б1.В,6,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,
+,Б1.В.ДВ.02.01,Нейронные сети и их приложения,Б1.В,6,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,93
-,Б1.В.ДВ.02.02,Web-программирование,Б1.В,6,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,389
+,Б1.В.ДВ.03,Дисциплины по выбору Б1.В.ДВ.3,Б1.В,5,,,,,4,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,
+,Б1.В.ДВ.03.01,Методы оптимизации,Б1.В,5,,,,,4,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,93
