,,№,Индекс,Наименование,,Семестр 3,,,,,,,,,,,,,,,,,,,,,,,,,Семестр 4,,,,,,,,,,,,,,,,,,,,,,,,,Итого за курс,,,,,,,,,,,,,,,,,,,,,,,,,Каф.,Наименование кафедры,Семестр,
,,,,,,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,Контроль,Академических часов,,,,,,,,,,,,,,,,,,,,,,з.е.,Недель,,,,
,,,,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,,,,Всего,Кон такт.,Лек,Лек интер,Лек электр,Лек пр. подгот,Лаб,Лаб интер,Лаб электр,Лаб пр. подгот,Пр,Пр интер,Пр электр,Пр пр. подгот,СР,СР интер,СР электр,СР пр. подгот,Контроль,Контроль интер,Контроль электр,Контроль пр. подгот,Всего,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Б1.О.19,Проектирование систем управления,,За,144,40,10,,,,,,,,30,,,,104,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,За,144,40,10,,,,,,,,30,,,,104,,,,,,,,4,,378,"Базовая кафедра ""Информационные технологии на радиоэлектронном производстве"" (Б_ИТРЭП_ИКИТ)",7,6412068
4,,,Б1.В.01,Системы управления цифровым производством,,Эк,180,50,20,,,,30,,,,,,,,94,,,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,50,20,,,,30,,,,,,,,94,,,,36,,,,5,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",7,6412041
4,,,Б1.В.02,Интеллектуальные системы управления техническими объектами,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,144,35,14,,,,,,,,21,,,,73,,,,36,,,,4,,Эк,144,35,14,,,,,,,,21,,,,73,,,,36,,,,4,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",8,6412042
4,,,Б1.В.05,Автоматизированные системы управления предприятием,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,35,14,,,,,,,,21,,,,109,,,,36,,,,5,,Эк,180,35,14,,,,,,,,21,,,,109,,,,36,,,,5,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",8,6412046
4,,,Б1.В.06,Управление техническими системами и процессами,,,,,,,,,,,,,,,,,,,,,,,,,,,За КП,144,21,7,,,,,,,,14,,,,123,,,,,,,,4,,За КП,144,21,7,,,,,,,,14,,,,123,,,,,,,,4,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",8,6412047
4,,,Б1.В.08,Организация и планирование производств,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,За,108,54,18,,,,,,,,36,,,,54,,,,,,,,3,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",7,6412050
4,,,Б1.В.09,Информационно-управляющие системы,,Эк,180,72,36,,36,,,,,,36,,,,72,,,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,180,72,36,,36,,,,,,36,,,,72,,,,36,,,,5,,378,"Базовая кафедра ""Информационные технологии на радиоэлектронном производстве"" (Б_ИТРЭП_ИКИТ)",7,6412069
4,,,Б1.В.ДВ.01.01,Цифровизация проектирования технических систем,,Эк,216,72,36,,,,,,,,36,,,,108,,,,36,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,216,72,36,,,,,,,,36,,,,108,,,,36,,,,6,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",7,6412051
4,{none},,Б1.В.ДВ.01.02,Технология цифрового проектирования технических устройств,,Эк,216,72,36,,,,,,,,36,,,,108,,,,36,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,Эк,216,72,36,,,,,,,,36,,,,108,,,,36,,,,6,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)",7,6412052
4,,,Б1.В.ДВ.03.01,SCADA-системы,,За КП,216,90,36,,,,54,,,,,,,,126,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,За КП,216,90,36,,,,54,,,,,,,,126,,,,,,,,6,,378,"Базовая кафедра ""Информационные технологии на радиоэлектронном производстве"" (Б_ИТРЭП_ИКИТ)",7,6412070
4,{none},,Б1.В.ДВ.03.02,DCS-системы,,За КП,216,90,36,,,,54,,,,,,,,126,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,За КП,216,90,36,,,,54,,,,,,,,126,,,,,,,,6,,378,"Базовая кафедра ""Информационные технологии на радиоэлектронном производстве"" (Б_ИТРЭП_ИКИТ)",7,6412071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,,ФОРМЫ КОНТРОЛЯ,,,,Эк(3) За(6),,,,,,,,,,,,,,,,,,,,,,,,,Эк(4) За(4),,,,,,,,,,,,,,,,,,,,,,,,,Эк(7) За(10),,,,,,,,,,,,,,,,,,,,,,,,,,,,
