,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-5УК-10,,,применяет методы планирования при организации работы производственной бригады на промышленном предприятии,-
,,Б1.О.25,,Экономика и управление производством,
,,Б1.В.08,,Организация и планирование производств,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
УК-11,,,,Способен формировать нетерпимое отношение к коррупционному поведению,УК
,ИД-1УК-11,,,"обладает знаниями о коррупции, ее видах, формах проявления, последствиях коррупционного взаимодействия",-
,,Б1.О.25,,Экономика и управление производством,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2УК-11,,,выявляет признаки коррупционного поведения,-
,,Б1.О.25,,Экономика и управление производством,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3УК-11,,,представляет возможности снижения коррупционности в различных сферах,-
,,Б1.О.25,,Экономика и управление производством,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
ОПК-1,,,,"Способен анализировать задачи профессиональной деятельности на основе положений, законов и методов в области естественных наук и математики",ОПК
,ИД-1ОПК-1,,,"обладает необходимыми знаниями положений, законов и методов в области естественных наук и математики для анализа задач профессиональной деятельности",-
,,Б1.О.05,,Физика,
,,Б1.О.08,,Алгебра и геометрия,
,,Б1.О.09,,Математический анализ,
,,Б1.О.10,,Дискретная математика,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2ОПК-1,,,"применяет фундаментальные знания, полученные в области естественных наук и математики",-
,,Б1.О.05,,Физика,
,,Б1.О.08,,Алгебра и геометрия,
,,Б1.О.09,,Математический анализ,
,,Б1.О.10,,Дискретная математика,
,,Б1.О.24,,Методы оптимизации,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3ОПК-1,,,"анализирует задачи профессиональной деятельности на основе фундаментальных знаний, полученных в области математических и естественных наук",-
,,Б1.О.05,,Физика,
,,Б1.О.08,,Алгебра и геометрия,
,,Б1.О.09,,Математический анализ,
,,Б1.О.10,,Дискретная математика,
,,Б1.О.24,,Методы оптимизации,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
ОПК-2,,,,"Способен формулировать задачи профессиональной деятельности на основе знаний, профильных разделов математических и естественнонаучных дисциплин (модулей)",ОПК
,ИД-1ОПК-2,,,формулирует задачи анализа устройств автоматики и систем автоматического управления,-
,,Б1.О.05,,Физика,
,,Б1.О.11,,Электротехника и электроника,
,,Б1.О.12,,Теория автоматического управления,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2ОПК-2,,,выбирает методы расчета и анализа устройств автоматики и систем автоматического управления,-
,,Б1.О.11,,Электротехника и электроника,
,,Б1.О.12,,Теория автоматического управления,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3ОПК-2,,,применяет методы анализа устройств автоматики и систем автоматического управления,-
,,Б1.О.12,,Теория автоматического управления,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
ОПК-3,,,,Способен использовать фундаментальные знания для решения базовых задач управления в технических системах с целью совершенствования в профессиональной деятельности,ОПК
,ИД-1ОПК-3,,,использует фундаментальные знания физики и математики для решения базовых задач управления,-
,,Б1.О.11,,Электротехника и электроника,
,,Б1.О.12,,Теория автоматического управления,
,,Б2.О.01(У),,Ознакомительная практика,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2ОПК-3,,,"применяет математические методы анализа и расчета, необходимые для исследования систем автоматического управления",-
,,Б1.О.11,,Электротехника и электроника,
,,Б1.О.12,,Теория автоматического управления,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3ОПК-3,,,владеет необходимыми методами решения задач построения и эксплуатации сис-тем управления,-
,,Б1.О.12,,Теория автоматического управления,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
ОПК-4,,,,"Способен осуществлять оценку эффективности систем управления, разработанных на основе математических методов",ОПК
,ИД-1ОПК-4,,,формулирует критерии оптимальности при решении задач управления,-
,,Б1.О.24,,Методы оптимизации,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2ОПК-4,,,оценивает качество автоматизированных систем управления,-
,,Б1.О.15,,Моделирование систем,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3ОПК-4,,,применяет критерии и методы оптимизации для оценки эффективности систем управления,-
,,Б1.О.24,,Методы оптимизации,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-4ОПК-4,,,подбирает тип математической схемы и модели в соответствии со спецификой объекта и целью управления,-
,,Б1.О.15,,Моделирование систем,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
ОПК-5,,,,"Способен решать задачи развития науки, техники и технологии в области управления в технических системах с учетом нормативно-правового регулирования в сфере интеллектуальной собственности",ОПК
,ИД-1ОПК-5,,,выбирает способы защиты прав на результаты интеллектуальной деятельности или средства индивидуализации,-
,,Б1.О.20,,Введение в профессиональную деятельность,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,,ФТД.01,,Теория поиска инновационных решений,
,ИД-2ОПК-5,,,"оценивает патентоспособность технических решений в области управления в качестве изобретений, полезных моделей или промышленных образцов",-
,,Б1.О.20,,Введение в профессиональную деятельность,
,,Б2.О.01(У),,Ознакомительная практика,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,,ФТД.01,,Теория поиска инновационных решений,
,ИД-3ОПК-5,,,"разрабатывает комплектную документацию для подачи заявок на изобретения, полезные модели и промышленные образцы, для регистрации программ для ЭВМ и баз данных",-
,,Б1.О.20,,Введение в профессиональную деятельность,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,,ФТД.01,,Теория поиска инновационных решений,
ОПК-6,,,,"Способен разрабатывать и использовать алгоритмы и программы, современные информационные технологии, методы и средства контроля, диагностики и управления, пригодные для практического применения в сфере своей профессиональной деятельности",ОПК
,ИД-1ОПК-6,,,"применяет языки и системы программирования, системные программные продукты для решения задач профессиональной деятельности в области управления",-
,,Б1.О.06,,Информатика,
,,Б1.О.07,,Основы программирования,
,,Б1.О.21,,Технология разработки программного обеспечения,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2ОПК-6,,,"формализует, предлагает и реализует алгоритмические решения в методах и средствах контроля и управления пригодные для практического применения",-
,,Б1.О.06,,Информатика,
,,Б1.О.07,,Основы программирования,
,,Б1.О.14,,Промышленные сети и интерфейсы,
,,Б1.О.21,,Технология разработки программного обеспечения,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,,ФТД.02,,Алгоритмы и структуры данных,
,ИД-3ОПК-6,,,разрабатывает программное обеспечение средств автоматизации и автоматизированных систем управления,-
,,Б1.О.07,,Основы программирования,
,,Б1.О.14,,Промышленные сети и интерфейсы,
,,Б1.О.21,,Технология разработки программного обеспечения,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
ОПК-7,,,,"Способен производить необходимые расчёты отдельных блоков и устройств систем контроля, автоматизации и управления, выбирать стандартные средства автоматики, измерительной и вычислительной техники при проектировании систем автоматизации и управления",ОПК
,ИД-1ОПК-7,,,рассчитывает режимы работы блоков и устройств систем контроля и автоматизации с помощью стандартных программных средств,-
,,Б1.О.16,,Исполнительные устройства автоматики,
,,Б1.О.18,,Элементы и устройства автоматики,
,,Б2.О.02(П),,Проектная практика,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2ОПК-7,,,"выбирает стандартные средства автоматики, измерительной и вычислительно техники при проектировании систем автоматизации и управления",-
,,Б1.О.16,,Исполнительные устройства автоматики,
,,Б1.О.18,,Элементы и устройства автоматики,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-3ОПК-7,,,,-
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
ОПК-8,,,,"Способен выполнять наладку измерительных и управляющих средств и комплексов, осуществлять их регламентное обслуживание",ОПК
,ИД-1ОПК-8,,,оценивает метрологические характеристики средств измерения и методы измерений,-
,,Б1.О.13,,Метрология и измерительная техника автоматизированных систем,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
,ИД-2ОПК-8,,,учитывает способы достижения требуемой точности измерений,-
,,Б1.О.13,,Метрология и измерительная техника автоматизированных систем,
,,Б1.О.18,,Элементы и устройства автоматики,
,,Б3.01(Д),,"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",
