-,-,-,Форма контроля,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
+,Б1.О.34,Теория информации,6,,,,3,3,108,108,54,54,18,36,,,,,,,3,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.35,Криптографические протоколы,7,,,,4,4,144,144,72,72,36,36,,,,,,,,4,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.36,Теоретико-числовые методы криптографии,6,,,,5,5,180,180,54,54,90,36,,,,,,,5,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.37,Основы построения защищённых компьютерных сетей,,7,,,2,2,72,72,54,54,18,,,,,,,,,2,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.38,Основы построения защищенных баз данных,,7,,,2,2,72,72,54,54,18,,,,,,,,,2,,94,Кафедра информационных систем (ИС_ИКИТ)
+,Б1.О.39,Методы оценки безопасности компьютерных систем,8,,,,4,4,144,144,48,48,60,36,,,,,,,,,4,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.40,Администрирование средств защиты информации в компьютерных системах и сетях,8,,,,3,3,108,108,32,32,40,36,,,,,,,,,3,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.41,Комплексная защита информации,8,,,,4,4,144,144,48,48,60,36,,,,,,,,,4,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.42,Математическое моделирование в задачах информационной безопасности,,5,,,3,3,108,108,72,72,36,,,,,,,3,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.43,Гуманитарные аспекты информационной безопасности,,4,,,3,3,108,108,54,54,54,,,,,,3,,,,,11,Кафедра философии (КФ1_ИФФ)
+,Б1.О.44,Основы управленческой деятельности,,7,,,3,3,108,108,72,72,36,,,,,,,,,3,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.О.45,Документоведение и документооборот,,5,,,3,3,108,108,36,36,72,,,,,,,3,,,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
