-,-,-,Форма контроля,,,,з.е.,-,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра,
,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Факт,Часов в з.е.,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код,Наименование
+,Б1.О.27,Информатика,1,,,,4,36,144,144,54,54,54,36,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.28,Аппаратные средства вычислительной техники,,3,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,3,108,36,,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.29,Операционные системы,3,,,,4,36,144,144,72,72,36,36,,,,,,,,,,,,,,,4,144,36,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.30,Компьютерные сети,5,,,,5,36,180,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,36,,72,36,,,,,,,,,,,,,,,,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.31,Языки программирования,2,1,,,8,36,288,288,126,126,126,36,4,144,18,,54,72,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.32,Языки программирования. Дополнительные разделы,4,3,,,8,36,288,288,144,144,108,36,,,,,,,,,,,,,,,3.5,126,36,,36,54,,4.5,162,36,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.33,Технологии и методы программирования,,6,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,18,,54,,,,,,,,,,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.34,Теория информации,6,,,,3,36,108,108,54,54,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,18,18,36,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.35,Криптографические протоколы,7,,,,4,36,144,144,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,36,,36,36,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.36,Теоретико-числовые методы криптографии,6,,,,5,36,180,180,54,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,18,90,36,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.37,Основы построения защищённых компьютерных сетей,,7,,,2,36,72,72,54,54,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,36,,18,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.38,Основы построения защищенных баз данных,,7,,,2,36,72,72,54,54,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,36,,18,,,,,,,,,94,Кафедра информационных систем (ИС_ИКИТ)
+,Б1.О.39,Методы оценки безопасности компьютерных систем,8,,,,4,36,144,144,48,48,60,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,16,,32,60,36,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.40,Администрирование средств защиты информации в компьютерных системах и сетях,8,,,,3,36,108,108,32,32,40,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,16,16,,40,36,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.41,Комплексная защита информации,8,,,,4,36,144,144,48,48,60,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,32,16,,60,36,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.42,Математическое моделирование в задачах информационной безопасности,,5,,,3,36,108,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.43,Гуманитарные аспекты информационной безопасности,,4,,,3,36,108,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Кафедра философии (КФ1_ИФФ)
