-,-,-,Форма контроля,,,,з.е.,,-,Итого акад.часов,,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Экспер тное,Факт,Часов в з.е.,Экспер тное,По плану,Ауд.,СР,Конт роль,Элект часы,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.В.ДВ.01,Дисциплины (модули) по выбору 1 (ДВ.1),7,,,,5,5,,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,
+,Б1.В.ДВ.01.01,Медиапланирование,7,,,,5,5,36,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,292
-,Б1.В.ДВ.01.02,Авторское право в медиа,7,,,,5,5,36,180,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,292
+,Б1.В.ДВ.02,Дисциплины (модули) по выбору 2 (ДВ.2),,7,,,3,3,,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,54,54,,,,,,,,,
+,Б1.В.ДВ.02.01,Разработка мобильных приложений,,7,,,3,3,36,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,54,54,,,,,,,,,292
-,Б1.В.ДВ.02.02,Интерактивная визуализация данных,,7,,,3,3,36,108,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,54,54,,,,,,,,,292
Блок 2.Практика ,,,,,,,21,21,,756,756,,756,,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
Обязательная часть ,,,,,,,6,6,,216,216,,216,,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б2.О.01(У),Ознакомительная практика,,,2,,3,3,36,108,108,,108,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292
+,Б2.О.02(У),Технологическая (проектно-технологическая) практика,,,4,,3,3,36,108,108,,108,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292
"Часть, формируемая участниками образовательных отношений ",,,,,,,15,15,,540,540,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
+,Б2.В.01(П),Технологическая (проектно-технологическая) практика,,,6,,6,6,36,216,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,,,,,,,,292
+,Б2.В.02(Пд),Преддипломная  практика,,,8,,9,9,36,324,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,292
Блок 3.Государственная итоговая аттестация ,,,,,,,9,9,,324,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,
+,Б3.01,выполнение и защита выпускной квалификационной работы,,,,,9,9,36,324,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,292
ФТД.Факультативные дисциплины ,,,,,,,15,15,,540,540,216,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,54,108,,5,180,18,,54,108,,2,72,,,36,36,,3,108,,,36,72,,
+,ФТД.01,Психология визуального восприятия,,6,,,2,2,36,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,292
+,ФТД.02,"Природа, культура и история Красноярского края",,5,,,2,2,36,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,292
+,ФТД.03,Иностранный язык в профессиональной деятельности,,5678,,,11,11,36,396,396,144,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,36,72,,3,108,,,36,72,,2,72,,,36,36,,3,108,,,36,72,,292
