-,-,-,Форма контроля,,,,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,ДКР,Др,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
+,Б2.О.01(У),Ознакомительная,,,2,,,,,3,3,108,108,,,108,,,,3,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б2.О.02(У),Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы),,,4,,,,,3,3,108,108,,,108,,,,,,3,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,,,,15,15,540,540,,,540,,,,,,,,6,,9,,
+,Б2.В.01(П),Научно - исследовательская работа,,,6,,,,,6,6,216,216,,,216,,,,,,,,6,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б2.В.02(П),Преддипломная  практика,,,8,,,,,9,9,324,324,,,324,,,,,,,,,,9,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
Блок 3.Государственная итоговая аттестация ,,,,,,,,,,6,6,216,216,,,216,,,,,,,,,,6,,
Обязательная часть ,,,,,,,,,,6,6,216,216,,,216,,,,,,,,,,6,,
+,Б3.О.01(Д),выполнение и защита выпускной квалификационной работы,,,,,,,,6,6,216,216,,,216,,,,,,,,,,6,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
ФТД.Факультативы ,,,,,,,,,,4,4,144,144,36,36,108,,,,,,,4,,,,,
"Часть, формируемая участниками образовательных отношений ",,,,,,,,,,4,4,144,144,36,36,108,,,,,,,4,,,,,
+,ФТД.В.01,Цифровая обработка сигналов,,5,,,,,,2,2,72,72,18,18,54,,,,,,,2,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,ФТД.В.02,Пакеты прикладных программ,,5,,,,,,2,2,72,72,18,18,54,,,,,,,2,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
