-,-,-,Форма контроля,,,,,,,з.е.,Итого акад.часов,,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,ДКР,Др,Факт,По плану,Конт. раб.,Ауд.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.О.32,Анализ данных,,7,,,,,,3,108,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,95
"Часть, формируемая участниками образовательных отношений ",,,,,,,,,,74,2664,1026,1026,1314,324,,,,,,,,,,,,,,,4,144,18,,18,72,36,6,216,36,18,36,126,,13,468,90,,126,216,36,21,756,108,,198,378,72,16,576,72,,144,288,72,14,504,72,,90,234,108,
+,Б1.В.01,Методы оптимизации,6,5,,,,,,9,324,108,108,180,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,18,72,,6,216,36,,36,108,36,,,,,,,,,,,,,,,95
+,Б1.В.02,Теория чисел,5,,,,,,,4,144,72,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,36,36,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.В.03,Интегральные преобразования и их применение,7,,,,,,,5,180,72,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,95
+,Б1.В.04,Теоретическая механика,3,,,,,,,4,144,36,36,72,36,,,,,,,,,,,,,,,4,144,18,,18,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.В.05,Компьютерные сети,,4,,,,,,3,108,36,36,72,,,,,,,,,,,,,,,,,,,,,,,3,108,18,18,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.В.06,Параллельное программирование,6,,,,,,,4,144,54,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,359
+,Б1.В.07,Бакалаврский семинар,,67,,,67,,,5,180,54,54,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,18,54,,3,108,,,36,72,,,,,,,,,95
+,Б1.В.08,Основы топологии,,5,,,,,,3,108,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,95
