Номер,Аббревиатура,Название кафедры
354,ТБГиМП_ИЦММ,Кафедра техносферной безопасности горного и металлургического производств (ТБГиМП_ИЦММ)
355,АППМ_ИЦММ,Кафедра автоматизации производственных процессов  в металлургии (АППМ_ИЦММ)
356,Б-ЭСС_ФЭ,Базовая кафедра электрических систем и сетей (Б-ЭСС_ФЭ)
357,Б-СУЗС_ОПГС,"Базовая кафедра ""Строительство уникальных зданий и сооружений"" (Б-СУЗС_ОПГС)"
359,ВПВ_ИКИТ,Кафедра высокопроизводительных вычислений (ВПВ_ИКИТ)
360,ТОиМФКТ_ФКСТ,Кафедра теоретических основ и менеджмента физической культуры и туризма (ТОиМФКТ_ФФКСТ)
361,МБОФКиОТ_ФФК,Кафедра медико-биологических основ физической культуры и оздоровительных технологий (МБОФКиОТ_ФФКСТ)
362,Б-СП_ЮИ,"Базовая кафедра ""Следственная практика"" (Б-СП_ЮИ)"
363,ЭП_ФЭУ,(ликвидирована) Кафедра экономики и планирования (ЭП_ФЭУ)
364,Мен_ФЭУ,(ликвидирована) Кафедра менеджмента (Мен_ФЭУ)
365,ТДМ_ФЭУ,(ликвидирована) Кафедра торгового дела и маркетинга (ТДМ_ФЭУ)
366,ИЯ_ФЭУ,(ликвидирована) Кафедра иностранных языков (ИЯ_ФЭУ)
367,БУАА_УЭФ,"(ликвидирована) Кафедра бухгалтерского учета, анализа и аудита (БУАА_УЭФ)"
369,ММИТ_УЭФ,(ликвидирована) Кафедра математических методов и информационных технологий (ММИТ_УЭФ)
370,ТЭТ_ТТФ,(ликвидирована) Кафедра товароведения и экспертизы товаров (ТЭТ_ТТФ)
371,ТООП_ТТФ,(ликвидирована) Кафедра технологии и организации общественного питания (ТООП_ТТФ)
372,ГН_ГИ,(ликвидирована) Кафедра гуманитарных наук (ГН_ГИ)
373,Вал_ТТФ,(ликвидирована) Кафедра валеологии (Вал_ТТФ)
374,ОСПО_ТЭИ,(ликвидирована) Отделение среднего профессионального образования (ОСПО_ТЭИ)
375,Б-РЭТИС_ИИФРЭ,"Базовая кафедра ""Радиоэлектронная техника информационных систем"" (Б-РЭТИС_ИИФРЭ)"
376,Б-ТЗСР_ИЦММ,"Базовая кафедра ""Технологии золотосодержащих руд"" (Б-ТЗСР_ИЦММ)"
377,Мин_филиал,Минусинский филиал СФУ (Мин_филиал)
378,Б-ИТРЭП_ИКИТ,"Базовая кафедра ""Информационные технологии на радиоэлектронном производстве"" (Б_ИТРЭП_ИКИТ)"
379,АСП,Управление Аспирантуры АСП
380,ЭиУБП_ИУБПЭ,(ликвидирована) Экономика и управление бизнес-процессами (ЭиУБП_ИУБПЭ)
381,Б-ФТТН_ИИФР,Базовая кафедра физики твердого тела и нанотехнологий (Б-ФТТН_ИИФР)
382,КГ_ОЭП,Кафедра географии (КГ_ОЭП)
383,ИТОиНО_ИППС,Кафедра информационных технологий обучения и непрерывного образования (ИТОиНО_ИППС)
