-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
+,Б1.О.12,Теория вероятности и математическая статистика,3,,,,,5,180,72,72,36,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.13,Теория и практика эффективного речевого общения,,2,,,,3,108,54,54,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
+,Б1.О.14,Информационная безопасность и защита информации,,4,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
+,Б1.О.15,Технологии программирования,,4,,,4,3,108,72,36,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.О.16,Методы и средства проектирования информационных систем и технологий,7,6,,,,8,288,108,144,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,6,216,36,,36,108,36,,,,,,,,98
+,Б1.О.17,Операционные системы,5,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,92
+,Б1.О.18,Физическая культура и спорт,,1256,,,,2,72,72,,,0.5,18,6,,12,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,0.5,18,4,,14,,,0.5,18,4,,14,,,,,,,,,,,,,,,,,346
+,Б1.О.19,Прикладная физическая культура и спорт,,123456,,,,,328,328,,,,50,,,50,,,,50,,,50,,,,68,,,68,,,,68,,,68,,,,46,,,46,,,,46,,,46,,,,,,,,,,,,,,,,,346
"Часть, формируемая участниками образовательных отношений ",,,,,,,,116,4176,1824,1884,468,,,,,,,,,,,,,,,17,612,90,,180,270,72,17,612,126,,162,252,72,20.5,738,126,,198,342,72,25.5,918,144,,234,432,108,25,900,198,,270,360,72,11,396,40,,56,228,72,
+,Б1.В.01,Информационные технологии,,3,,,,3,108,54,54,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.В.02,Архитектура информационных систем,3,,,,,4,144,54,54,36,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.В.03,Теория алгоритмов,3,,,,,4,144,54,54,36,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430
+,Б1.В.04,Управление данными,,4,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.В.05,Теория информационных процессов и систем,4,,,,,4,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,4,144,36,,18,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
+,Б1.В.06,Клиент-серверное программирование,4,3,,,,7,252,126,90,36,,,,,,,,,,,,,,,3,108,18,,36,54,,4,144,36,,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
+,Б1.В.07,Проектирование баз данных,,3,,,,3,108,54,54,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.В.08,Английский язык для профессиональных целей,,56,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,54,,,36,18,,1.5,54,,,18,36,,,,,,,,,,,,,,,,96
+,Б1.В.09,Технологии обработки информации,6,,,,,6,216,72,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,36,,36,108,36,,,,,,,,,,,,,,,430
+,Б1.В.10,Корпоративные ИС,5,,,,,5,180,54,90,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,18,,36,90,36,,,,,,,,,,,,,,,,,,,,,,98
+,Б1.В.11,Интеллектуальные системы и технологии,,6,,,6,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,98
+,Б1.В.12,Технологии внедрения программного обеспечения,,7,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,94
+,Б1.В.13,Тестирование и контроль качества ПО,,5,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,18,54,,,,,,,,,,,,,,,,,,,,,,,94
+,Б1.В.14,Разработка ПО ГИС,,4,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
+,Б1.В.15,Управление ИТ-проектами,,5,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,98
+,Б1.В.16,Анализ больших данных,6,,,,,4,144,54,54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,36,54,36,,,,,,,,,,,,,,,94
+,Б1.В.17,Разработка мобильного ПО,,6,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,98
+,Б1.В.18,Методы и средства отображения информации,,4,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
+,Б1.В.19,Информационно-вычислительные сети,7,,,,,4,144,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,36,36,,,,,,,,92
+,Б1.В.20,Моделирование процессов и систем,7,,,,,4,144,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,36,,36,36,36,,,,,,,,90
+,Б1.В.21,Инструментальные средства информационных систем,6,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,94
+,Б1.В.22,Экономическая культура и финансовая грамотность,,7,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,443
+,Б1.В.23,Основы профилактики коррупции,,7,,,,2,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,98
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,,7,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,
+,Б1.В.ДВ.01.01,Трехмерное моделирование и анимация,,7,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,98
-,Б1.В.ДВ.01.02,Интеллектуальные системы поддержки принятия решений,,7,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,98
-,Б1.В.ДВ.01.03,Информационные системы логистики,,7,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,94
-,Б1.В.ДВ.01.04,Основы веб-картографии,,7,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,90
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,8,7,,,,7,252,102,114,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,4,144,24,,24,60,36,
+,Б1.В.ДВ.02.01,Разработка Web-приложений,8,7,,,,7,252,102,114,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,4,144,24,,24,60,36,98
-,Б1.В.ДВ.02.02,Методы цифровой трансформации,8,7,,,,7,252,102,114,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,4,144,24,,24,60,36,98
-,Б1.В.ДВ.02.03,Машинное обучение,8,7,,,,7,252,102,114,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,4,144,24,,24,60,36,94
-,Б1.В.ДВ.02.04,Анализ данных в ИС мониторинга,8,7,,,,7,252,102,114,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,4,144,24,,24,60,36,90
+,Б1.В.ДВ.03,Дисциплины по выбору Б1.В.ДВ.3,,8,,,,3,108,32,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,16,,16,76,,
+,Б1.В.ДВ.03.01,Бизнес-процессы в медиаиндустрии,,8,,,,3,108,32,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,16,,16,76,,98
-,Б1.В.ДВ.03.02,Технологии цифровой трансформации,,8,,,,3,108,32,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,16,,16,76,,98
-,Б1.В.ДВ.03.03,Инструменты бизнес-аналитики,,8,,,,3,108,32,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,16,,16,76,,94
-,Б1.В.ДВ.03.04,Проектирование ГИС,,8,,,,3,108,32,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,16,,16,76,,90
+,Б1.В.ДВ.04,Дисциплины по выбору Б1.В.ДВ.4,,6,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,
+,Б1.В.ДВ.04.01,Обработка медиа- контента Часть2,,6,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,98
-,Б1.В.ДВ.04.02,Документоведение и электронный документооборот. Часть 2,,6,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,98
-,Б1.В.ДВ.04.03,Проектирование ИУС,,6,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,94
-,Б1.В.ДВ.04.04,Геоинформационные системы и технологии,,6,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,90
+,Б1.В.ДВ.05,Дисциплины по выбору Б1.В.ДВ.5,,5,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,
+,Б1.В.ДВ.05.01,Обработка медиа- контента Часть1,,5,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,98
-,Б1.В.ДВ.05.02,Правовые основы цифровизации производства,,5,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,98
-,Б1.В.ДВ.05.03,Теория языков программирования,,5,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,94
-,Б1.В.ДВ.05.04,Основы картографии,,5,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,,,,,,,,,,,,,,,90
+,Б1.В.ДВ.06,Дисциплины по выбору Б1.В.ДВ.6,5,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,
+,Б1.В.ДВ.06.01,Полиграфический процесс,5,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,98
-,Б1.В.ДВ.06.02,Документоведение и электронный документооборот. Часть 1,5,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,98
-,Б1.В.ДВ.06.03,Интернет предпринимательство,5,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,94
-,Б1.В.ДВ.06.04,Методы обработки аэрокосмической информации,5,,,,,5,180,72,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,36,72,36,,,,,,,,,,,,,,,,,,,,,,90
+,Б1.В.ДВ.07,Дисциплины по выбору Б1.В.ДВ.7,8,,,8,,4,144,16,92,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,,,16,92,36,
+,Б1.В.ДВ.07.01,Программные средства медиаиндустрии,8,,,8,,4,144,16,92,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,,,16,92,36,98
-,Б1.В.ДВ.07.02,Моделирование,8,,,8,,4,144,16,92,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,,,16,92,36,98
-,Б1.В.ДВ.07.03,Проектирование ИС для корпоративного сектора (МДКП),8,,,8,,4,144,16,92,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,,,16,92,36,94
-,Б1.В.ДВ.07.04,Применение ГИС в исследованиях (МДКП),8,,,8,,4,144,16,92,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,,,16,92,36,90
+,Б1.В.ДВ.08,Дисциплины по выбору Б1.В.ДВ.8,,7,,,,3,108,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,
+,Б1.В.ДВ.08.01,Графический дизайн интерфейса,,7,,,,3,108,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,98
-,Б1.В.ДВ.08.02,Мультиагентные системы,,7,,,,3,108,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,98
-,Б1.В.ДВ.08.03,Информационные системы на предприятиях,,7,,,,3,108,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,94
-,Б1.В.ДВ.08.04,Пространственный анализ данных в ГИС,,7,,,,3,108,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,90
Блок 2.Практика ,,,,,,,,21,756,,756,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
Обязательная часть ,,,,,,,,12,432,,432,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,,,,,,,,
+,Б2.О.01(У),Ознакомительная практика,,,2,,,3,108,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
+,Б2.О.02(У),Научно-исследовательская работа (получение первичных навыков научно-исследовательской работы),,,4,,,3,108,,108,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
+,Б2.О.03(П),Технологическая (проектно-технологическая) практика,,,6,,,6,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,,,,,,,,98
"Часть, формируемая участниками образовательных отношений ",,,,,,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,
+,Б2.В.01(П),Преддипломная практика,,,8,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,98
Блок 3.Государственная итоговая аттестация ,,,,,,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,
+,Б3.01(Д),выполнение и защита выпускной квалификационной работы,,,,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,98
ФТД.Факультативы ,,,,,,,,6,216,108,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,18,,90,108,,,,,,,,,,,,,,,,,,,,,,,
+,ФТД.01,Системы дистанционного зондирования Земли,,5,,,,2,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,98
+,ФТД.02,Распределенные информационные системы,,5,,,,2,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,36,36,,,,,,,,,,,,,,,,,,,,,,,94
+,ФТД.03,Спортивное программирование,,5,,,,2,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,,,36,36,,,,,,,,,,,,,,,,,,,,,,,94
