Индекс,,,,Содержание,Тип
,,Б1.О.22,,Макроэкономика,
,,Б1.О.23,,Эконометрика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-9.2,,,"Умеет анализировать информацию для принятия обоснованных экономических решений, применять экономические знания при  выполнении практических задач",-
,,Б1.О.22,,Макроэкономика,
,,Б1.О.23,,Эконометрика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-9.3,,,Владеет способностью использовать основные положения и методы экономических наук при решении социальных и профессиональных задач,-
,,Б1.О.22,,Макроэкономика,
,,Б1.О.23,,Эконометрика,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
УК-10,,,,Способен формировать нетерпимое отношение к коррупционному поведению,УК
,УК-10.1,,,"Знает сущность коррупционного поведения и его взаимосвязь с социальными, экономическими, политическими и иными условиями, действующие правовые нормы, обеспечивающие борьбу с  коррупцией в различных областях  жизнедеятельности и способы профилактики коррупции",-
,,Б1.В.02,,Всемирное культурное наследие,
,,Б1.В.22,,Конфликты и переговоры,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-10.2,,,"Умеет анализировать, толковать и применять правовые нормы о противодействии коррупционному поведению",-
,,Б1.В.02,,Всемирное культурное наследие,
,,Б1.В.22,,Конфликты и переговоры,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
,УК-10.3,,,Владеет навыками работы с законодательными и другими нормативными правовыми актами,-
,,Б1.В.02,,Всемирное культурное наследие,
,,Б1.В.22,,Конфликты и переговоры,
,,Б3.01,,выполнение и защита выпускной квалификационной работы,
Тип задач проф. деятельности: ,,,,производственно-технологический,
,ПК-3,,,"Способен организовывать работу по созданию прикладного программного обеспечения, информационных и медиаресурсов, включая создание контента ",ПК
,,ПК-3.1,,"Знает методы и способы организации работы по созданию прикладного программного обеспечения, информационных и медиаресурсов, включая создание контента",-
,,,Б1.В.10,Режиссура интерактивных медиа,
,,,Б1.В.21,Разработка компьютерных игр,
,,,Б1.В.23,Управление проектами и тайм-менеджмент,
,,,Б1.В.ДВ.02.01,Разработка мобильных приложений,
,,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,,Б2.В.02(Пд),Преддипломная  практика,
,,,Б3.01,выполнение и защита выпускной квалификационной работы,
,,ПК-3.2,,"Умеет организовывать работу по созданию прикладного программного обеспечения, информационных и медиаресурсов, включая создание контента",-
,,,Б1.В.10,Режиссура интерактивных медиа,
,,,Б1.В.21,Разработка компьютерных игр,
,,,Б1.В.23,Управление проектами и тайм-менеджмент,
,,,Б1.В.ДВ.02.01,Разработка мобильных приложений,
,,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,,Б2.В.02(Пд),Преддипломная  практика,
,,,Б3.01,выполнение и защита выпускной квалификационной работы,
,,ПК-3.3,,"Владеет навыками организации работ по созданию прикладного программного обеспечения, информационных и медиаресурсов, включая создание контента",-
,,,Б1.В.10,Режиссура интерактивных медиа,
,,,Б1.В.21,Разработка компьютерных игр,
,,,Б1.В.23,Управление проектами и тайм-менеджмент,
,,,Б1.В.ДВ.02.01,Разработка мобильных приложений,
,,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,,Б2.В.02(Пд),Преддипломная  практика,
,,,Б3.01,выполнение и защита выпускной квалификационной работы,
,ПК-4,,,Способен анализировать информационные потребности пользователей информационных и медиаресурсов,ПК
,,ПК-4.1,,Знает методы и способы выявления информационных потребностей пользователей информационных и медиаресурсов,-
,,,Б1.В.10,Режиссура интерактивных медиа,
,,,Б1.В.16,"Веб-аналитика/Яндекс.Метрика, Google Analytics",
,,,Б1.В.19,Информационная этика и цифровое право,
,,,Б1.В.20,Компьютерный анализ текста,
,,,Б1.В.ДВ.01.01,Медиапланирование,
,,,Б1.В.ДВ.01.02,Авторское право в медиа,
,,,Б1.В.ДВ.02.02,Интерактивная визуализация данных,
,,,Б2.В.02(Пд),Преддипломная  практика,
,,,Б3.01,выполнение и защита выпускной квалификационной работы,
,,,ФТД.01,Психология визуального восприятия,
,,ПК-4.2,,Умеет анализировать информационные потребности пользователей информационных и медиаресурсов,-
,,,Б1.В.10,Режиссура интерактивных медиа,
,,,Б1.В.16,"Веб-аналитика/Яндекс.Метрика, Google Analytics",
,,,Б1.В.19,Информационная этика и цифровое право,
,,,Б1.В.20,Компьютерный анализ текста,
,,,Б1.В.ДВ.01.01,Медиапланирование,
,,,Б1.В.ДВ.01.02,Авторское право в медиа,
,,,Б1.В.ДВ.02.02,Интерактивная визуализация данных,
,,,Б2.В.02(Пд),Преддипломная  практика,
,,,Б3.01,выполнение и защита выпускной квалификационной работы,
,,,ФТД.01,Психология визуального восприятия,
,,ПК-4.3,,Владеет навыками анализа информационных потребностей пользователей информационных и медиаресурсов,-
,,,Б1.В.10,Режиссура интерактивных медиа,
,,,Б1.В.16,"Веб-аналитика/Яндекс.Метрика, Google Analytics",
,,,Б1.В.19,Информационная этика и цифровое право,
,,,Б1.В.20,Компьютерный анализ текста,
,,,Б1.В.ДВ.01.01,Медиапланирование,
,,,Б1.В.ДВ.01.02,Авторское право в медиа,
,,,Б1.В.ДВ.02.02,Интерактивная визуализация данных,
,,,Б2.В.02(Пд),Преддипломная  практика,
,,,Б3.01,выполнение и защита выпускной квалификационной работы,
,,,ФТД.01,Психология визуального восприятия,
,ПК-5,,,"Способен проводить работы по проектированию и дизайну прикладного программного обеспечения, информационных и медиаресурсов",ПК
,,ПК-5.1,,"Знает этапы работ по проектированию и дизайну прикладного программного обеспечения, информационных и медиаресурсов",-
,,,Б1.В.01,Технологии оцифровки,
,,,Б1.В.07,Графический дизайн и инфографика/Adobe InDesign,
,,,Б1.В.08,3D-моделирование/Autodesk 3ds Max,
,,,Б1.В.14,Технологии дополненной и виртуальной реальности: AR и VR,
,,,Б1.В.15,3D-скульптинг/Pixologic ZBrush,
,,,Б1.В.18,Полиграфический дизайн и верстка/Adobe Illustrator,
,,,Б1.В.ДВ.01.01,Медиапланирование,
,,,Б1.В.ДВ.02.02,Интерактивная визуализация данных,
,,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,,Б2.В.02(Пд),Преддипломная  практика,
,,,Б3.01,выполнение и защита выпускной квалификационной работы,
,,ПК-5.2,,"Умеет проводить работы по проектированию и дизайну прикладного программного обеспечения, информационных и медиаресурсов",-
,,,Б1.В.01,Технологии оцифровки,
,,,Б1.В.07,Графический дизайн и инфографика/Adobe InDesign,
,,,Б1.В.08,3D-моделирование/Autodesk 3ds Max,
,,,Б1.В.14,Технологии дополненной и виртуальной реальности: AR и VR,
,,,Б1.В.15,3D-скульптинг/Pixologic ZBrush,
,,,Б1.В.18,Полиграфический дизайн и верстка/Adobe Illustrator,
,,,Б1.В.ДВ.01.01,Медиапланирование,
,,,Б1.В.ДВ.02.02,Интерактивная визуализация данных,
,,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,,Б2.В.02(Пд),Преддипломная  практика,
,,,Б3.01,выполнение и защита выпускной квалификационной работы,
,,ПК-5.3,,"Владеет навыками проведения работ по проектированию и дизайну прикладного программного обеспечения, информационных и медиаресурсов",-
,,,Б1.В.01,Технологии оцифровки,
