-,-,-,Форма контроля,,,,,з.е.,Итого акад.часов,,,,Курс 1,,,,,,,,,,,,,,Курс 2,,,,,,,,,,,,,,Курс 3,,,,,,,,,,,,,,Курс 4,,,,,,,,,,,,,,Закрепленная кафедра
,,,,,,,,,,,,,Семестр 1,,,,,,,Семестр 2,,,,,,,Семестр 3,,,,,,,Семестр 4,,,,,,,Семестр 5,,,,,,,Семестр 6,,,,,,,Семестр 7,,,,,,,Семестр 8,,,,,,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КП,КР,Факт,По плану,Конт. раб.,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,з.е.,Итого,Лек,Лаб,Пр,СР,Конт роль,Код
+,Б1.В.11,Анализ неструктурированных данных,7,,,,,5,180,108,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,72,36,36,,,,,,,,389
+,Б1.В.12,Управление программными проектами,,7,,,7,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,389
+,Б1.В.13,Экономическая культура и финансовая грамотность,,7,,,,3,108,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,18,,36,54,,,,,,,,,443
+,Б1.В.14,Основы профилактики коррупции,,7,,,,2,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,98
+,Б1.В.15,Управление требованиями к программному обеспечению,8,,,,,6,216,64,116,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,16,,48,116,36,389
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,5,,,,5,6,216,72,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,18,,54,108,36,,,,,,,,,,,,,,,,,,,,,,
+,Б1.В.ДВ.01.01,Теория и технология программирования,5,,,,5,6,216,72,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,18,,54,108,36,,,,,,,,,,,,,,,,,,,,,,389
-,Б1.В.ДВ.01.02,Проектирование и архитектура информационных систем,5,,,,5,6,216,72,108,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,18,,54,108,36,,,,,,,,,,,,,,,,,,,,,,389
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,6,5,,,,9,324,144,144,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,54,72,,5,180,18,,54,72,36,,,,,,,,,,,,,,,
+,Б1.В.ДВ.02.01,Теория эволюционных вычислений,6,5,,,,9,324,144,144,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,54,72,,5,180,18,,54,72,36,,,,,,,,,,,,,,,389
-,Б1.В.ДВ.02.02,Технологии вычислительного интеллекта,6,5,,,,9,324,144,144,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,144,18,,54,72,,5,180,18,,54,72,36,,,,,,,,,,,,,,,389
+,Б1.В.ДВ.03,Дисциплины по выбору Б1.В.ДВ.3,7,,,,,5,180,108,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,72,36,36,,,,,,,,
-,Б1.В.ДВ.03.01,Разработка интеграционных систем,7,,,,,5,180,108,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,72,36,36,,,,,,,,389
+,Б1.В.ДВ.03.02,Хранилища данных,7,,,,,5,180,108,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,36,,72,36,36,,,,,,,,389
Блок 2.Практика ,,,,,,,,21,756,,756,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
Обязательная часть ,,,,,,,,21,756,,756,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
+,Б2.О.01,Учебная практика,,24,,,,6,216,,216,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,Б2.О.01.01(У),Ознакомительная практика,,24,,,,6,216,,216,,,,,,,,,3,108,,,,108,,,,,,,,,3,108,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389
+,Б2.О.02,Производственная  практика,,,688,,,15,540,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,9,324,,,,324,,
+,Б2.О.02.01(П),Технологическая (проектно-технологическая) практика,,,6,,,6,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,,,,,,,,,,,,,,,389
+,Б2.О.02.02(П),Научно-исследовательская  работа,,,8,,,3,108,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,,,,108,,389
+,Б2.О.02.03(П),Преддипломная практика,,,8,,,6,216,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,216,,,,216,,389
Блок 3.Государственная итоговая аттестация ,,,,,,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,
+,Б3.01(Д),"Выполнение, подготовка к процедуре защиты и защита выпускной квалификационной работы",,,8,,,9,324,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,324,,,,324,,389
ФТД.Факультативные дисциплины ,,,,,,,,5,180,108,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,3,108,36,,36,36,,,,,,,,,
+,ФТД.01,Архитектура вычислительных систем,,5,,,,2,72,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,18,,18,36,,,,,,,,,,,,,,,,,,,,,,,93
+,ФТД.02,Компьютерное зрение и обработка изображений,,7,,,,3,108,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108,36,,36,36,,,,,,,,,389
